syscall number	sysnopsis
0	ssize_t read(int fd, void buf[.count], size_t count);
1	ssize_t write(int fd, const void buf[.count], size_t count);
2	int open(const char *pathname, int flags, .../* mode_t mode */ );
3	int close(int fd);
4	int stat(const char *restrict pathname,struct stat *restrict statbuf);
5	int fstat(int fd, struct stat *statbuf);
6	int lstat(const char *restrict pathname,struct stat *restrict statbuf);
7	int poll(struct pollfd *fds, nfds_t nfds, int timeout);
8	off_t lseek(int fd, off_t offset, int whence);
9	void *mmap(void addr[.length], size_t length, int prot, int flags,int fd, off_t offset);
10	int mprotect(void addr[.len], size_t len, int prot);
11	int munmap(void addr[.length], size_t length);
12	int brk(void *addr);
13	int sigaction(int signum,const struct sigaction *_Nullable restrict act,struct sigaction *_Nullable restrict oldact);
14	int sigprocmask(int how, const sigset_t *_Nullable restrict set,sigset_t *_Nullable restrict oldset);
15	int sigreturn(...);
16	int ioctl(int fd, unsigned long op, ...);
17	ssize_t pread(int fd, void buf[.count], size_t count, off_t offset);
18	ssize_t pwrite(int fd, const void buf[.count], size_t count, off_t offset);
19	ssize_t readv(int fd, const struct iovec *iov, int iovcnt);
20	ssize_t writev(int fd, const struct iovec *iov, int iovcnt);
21	int faccessat(int dirfd, const char *pathname, int mode, int flags);
22	int pipe(int pipefd[2]);
23	int select(int nfds, fd_set *_Nullable restrict readfds, fd_set *_Nullable restrict writefds, fd_set *_Nullable restrict exceptfds, struct timeval *_Nullable restrict timeout);
24	int sched_yield(void);
25	void *mremap(void old_address[.old_size], size_t old_size, size_t new_size, int flags, ... /* void *new_address */);
26	int msync(void addr[.length], size_t length, int flags);
27	int mincore(void addr[.length], size_t length, unsigned char *vec);
28	int madvise(void addr[.length], size_t length, int advice);
29	int shmget(key_t key, size_t size, int shmflg);
30	void *shmat(int shmid, const void *shmaddr, int shmflg);
31	int shmctl(int shmid, int op, struct shmid_ds *buf);
32	int dup(int oldfd);
33	int dup2(int oldfd, int newfd);
34	int pause(void); 
35	int nanosleep(const struct timespec *duration, struct timespec *_Nullable rem);
36	int getitimer(int which, struct itimerval *curr_value);
37	unsigned int alarm(unsigned int seconds);
38	int setitimer(int which, const struct itimerval *restrict new_value, struct itimerval *_Nullable restrict old_value);
39	pid_t getpid(void);
40	ssize_t sendfile(int out_fd, int in_fd, off_t *_Nullable offset, size_t count);
41	int socket(int domain, int type, int protocol);
42	int connect(int sockfd, const struct sockaddr *addr, socklen_t addrlen);
43	int accept(int sockfd, struct sockaddr *_Nullable restrict addr, socklen_t *_Nullable restrict addrlen);
44	ssize_t send(int sockfd, const void buf[.len], size_t len, int flags);
45	ssize_t recvfrom(int socket, void *restrict buffer, size_t length, int flags, struct sockaddr *restrict address, socklen_t *restrict address_len);
46	ssize_t sendmsg(int sockfd, const struct msghdr *msg, int flags);
47	ssize_t recvmsg(int socket, struct msghdr *message, int flags);
